Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Opisthocomus hoazin,30419,Aves,1,72.44701679,0.000113494,0.755202479,-13.36661171,0%-1%,-4.563474602,72.69268939
,Axymyiidae,560733,Arthropods,2,272,0.00043262,-,-13.35145401,0%-1%,-,-
,Pseudobiston pinratanai,1619958,Arthropods,1,103,0.000164663,-,-13.34633698,0%-1%,-,-
,Archaeognatha,29994,Arthropods,95,424,0.000688935,-,-13.33009712,0%-1%,-,-
,Thelyphonidae,673384,Arthropods,5,411.0333333,0.000691946,-,-13.29467731,0%-1%,-,-
,Quillaja saponaria,32244,Embryophytes,1,65.4,0.000113058,-,-13.26812987,0%-1%,-,-
,Acorus,4464,Embryophytes,6,132.9,0.000234055,-,-13.24955138,0%-1%,-,-
,Xeronema callistemon,51387,Embryophytes,1,77.4,0.00013816,-,-13.23608698,0%-1%,-,-
,Ascaphus,8438,Amphbians,2,183.5,0.000347343,-,-13.17741296,0%-1%,-,-
,Axia,398012,Arthropods,2,127.3,0.00024888,-,-13.14508605,0%-1%,-,-
bichirs,Polypteridae,8289,Vertebrates,16,386.3,0.000765733,-,-13.13129072,0%-1%,-,-
,Ingolfiella tabularis,371528,Arthropods,1,340,0.000690608,-,-13.10688419,0%-1%,-,-
goblet worms,Entoprocta,43120,Metazoans,28,753,0.001615322,-,-13.05228589,0%-1%,-,-
,Ithycerus noveboracensis,166870,Arthropods,1,128,0.000280269,-,-13.03179076,0%-1%,-,-
,Dactylanthus antarcticus,86615,Metazoans,1,364,0.000817661,-,-13.006216,0%-1%,-,-
,Lanaria lanata,59087,Embryophytes,1,58.8,0.00013816,-,-12.96124206,0%-1%,-,-
web-spinners,Embioptera,50657,Arthropods,94,345.8,0.0008218,-,-12.94987354,0%-1%,-,-
,Tantulocarida,116174,Arthropods,2,463.5,0.001184834,-,-12.87695888,0%-1%,-,-
,Derocheilocaris,84306,Arthropods,2,463.5,0.001184834,-,-12.87695888,0%-1%,-,-
,Caponiidae,1112062,Arthropods,2,169.3,0.00043985,-,-12.86074806,0%-1%,-,-
hornworts,Anthocerotophyta,13809,Embryophytes,163,470.7,0.001293753,-,-12.80442857,0%-1%,-,-
,Famatinanthus decussatus,1532449,Embryophytes,1,55.4,0.000158655,-,-12.76336058,0%-1%,-,-
,Takakia,37424,Embryophytes,3,320,0.000932836,-,-12.74560234,0%-1%,-,-
,Diphyllostoma fimbriata,1542232,Arthropods,1,165.9,0.000488281,-,-12.73600418,0%-1%,-,-
Gondwanaland moths,Palaephatidae,98973,Arthropods,21,189.3333333,0.000567338,-,-12.71806521,0%-1%,-,-
,Tethysbaena,203898,Arthropods,2,340,0.001049869,-,-12.68803572,0%-1%,-,-
,Mictacea,75397,Arthropods,2,340,0.001049869,-,-12.68803572,0%-1%,-,-
,Hecastocleis shockleyi,220498,Embryophytes,1,51,0.000158655,-,-12.68060662,0%-1%,-,-
,Glypheidae,288652,Arthropods,2,318.4,0.001001502,-,-12.66956261,0%-1%,-,-
,Gunnerales,232382,Embryophytes,32,118,0.00037462,-,-12.66028427,0%-1%,-,-
egg-laying mammals,Monotremata,9255,Mammals,3,166.2,0.000536673,0.96794329,-12.64331416,0%-1%,-5.145219368,80.13333333
,Meru phyllisae,535381,Arthropods,1,137.3666667,0.000458085,-,-12.61110911,0%-1%,-,-
water bears,Tardigrada,42241,Metazoans,407,722.8,0.002438586,-,-12.59946948,0%-1%,-,-
Blue Corals,Helioporacea,86512,Metazoans,2,317.3,0.001070664,-,-12.59932414,0%-1%,-,-
,Cystodium sorbifolium,369718,Embryophytes,1,151.5,0.000514139,-,-12.59360288,0%-1%,-,-
,Doryanthes,49712,Embryophytes,2,81.4,0.000276319,-,-12.5933283,0%-1%,-,-
,Stephanidae,32422,Arthropods,8,215.4,0.000749204,-,-12.56899605,0%-1%,-,-
,Gymnarrhena micrantha,313929,Embryophytes,1,44.9,0.000158655,-,-12.55321878,0%-1%,-,-
,Martialis heureka,557288,Arthropods,1,139.2,0.000491884,-,-12.55317956,0%-1%,-,-
jawless vertebrates,Cyclostomata,1476529,Vertebrates,111,615,0.002202949,-,-12.53958055,0%-1%,-,-
,Polymixia,81384,Actinopterians,6,148,0.000530645,-,-12.53863009,0%-1%,-,-
,Chiloe micropteron,431186,Arthropods,1,174.9,0.000635728,-,-12.52495429,0%-1%,-,-
,Dacnonypha,41177,Arthropods,27,194,0.000713814,-,-12.51274683,0%-1%,-,-
,Pentaphragma,26847,Embryophytes,3,81.7,0.000303828,-,-12.50210203,0%-1%,-,-
,Petrosaviaceae,114079,Embryophytes,5,110.8,0.00041336,-,-12.49891896,0%-1%,-,-
,Leiopelma,43507,Amphbians,4,183.5,0.000694686,-,-12.48426578,0%-1%,-,-
,Sagittoidea,1421718,Metazoans,123,626.5,0.002416076,-,-12.46575942,0%-1%,-,-
,Buchonomyia thienemanni,880185,Arthropods,1,221.9,0.000862813,-,-12.45753967,0%-1%,-,-
,Megalyra,44365,Arthropods,9,215.4,0.000842854,-,-12.45121302,0%-1%,-,-
,Trimusculus,453449,Metazoans,3,188,0.000744971,-,-12.43860664,0%-1%,-,-
,Ichthybotus hudsoni,309666,Arthropods,1,221.9,0.000901713,-,-12.41344082,0%-1%,-,-
,Apomyrma stygia,237768,Arthropods,1,120,0.000491884,-,-12.40475956,0%-1%,-,-
tusk shells,Scaphopoda,32584,Metazoans,31,572.9,0.002359927,-,-12.39983581,0%-1%,-,-
,Joppeicus paradoxus,236718,Arthropods,1,220.1,0.00091659,-,-12.38893197,0%-1%,-,-
,Gradungulidae,88321,Arthropods,2,103.4,0.00043985,-,-12.36768074,0%-1%,-,-
,Austrochilidae,88322,Arthropods,2,103.4,0.00043985,-,-12.36768074,0%-1%,-,-
,Paraponera clavata,55425,Arthropods,1,114.6,0.000491884,-,-12.35871562,0%-1%,-,-
,Microstigmata longipes,389834,Arthropods,1,191,0.000833333,-,-12.34235026,0%-1%,-,-
,Glacidorbidae,356152,Metazoans,3,162.3,0.000709891,-,-12.33984538,0%-1%,-,-
,Villorita cyprinoides,1176411,Metazoans,1,441.2,0.001960784,-,-12.32390901,0%-1%,-,-
,Acanthoaxis wirtzi,1267101,Metazoans,1,317.3,0.001438849,-,-12.30375954,0%-1%,-,-
,Taiaroa tauhou,86518,Metazoans,1,317.3,0.001438849,-,-12.30375954,0%-1%,-,-
,Xyelidae,48206,Arthropods,34,282.8,0.001292383,-,-12.29600776,0%-1%,-,-
,Tetraphidaceae,37418,Embryophytes,3,210.05,0.000973078,-,-12.28239174,0%-1%,-,-
,Aplacophora,47122,Metazoans,33,525.8,0.00251218,-,-12.25152518,0%-1%,-,-
,Pholidichthys leucotaenia,390368,Actinopterians,1,93,0.000449236,-,-12.24056102,0%-1%,-,-
,Hyblaea,268501,Arthropods,5,127.3,0.0006222,-,-12.22879532,0%-1%,-,-
,Lophopyxis maingayi,125041,Embryophytes,1,81.8,0.000407997,-,-12.20852863,0%-1%,-,-
,Ateleopodidae,143304,Actinopterians,10,166.9,0.000832778,-,-12.20813811,0%-1%,-,-
,Plocosperma buxifolium,62094,Embryophytes,1,81.7,0.00041425,-,-12.1920944,0%-1%,-,-
New Zealand wrens,Acanthisittidae,38633,Aves,2,73.09774156,0.000371747,0.769765026,-12.18909394,0%-1%,-4.552984623,41.67895489
,Ceratocanthidae,110054,Arthropods,2,188.9333333,0.000976563,-,-12.17286602,0%-1%,-,-
maidenhair tree,Ginkgo biloba,3311,Embryophytes,1,295.6,0.001536098,-,-12.16751683,0%-1%,-,-
,Phelline,4303,Embryophytes,3,58.2,0.000303828,-,-12.16293338,0%-1%,-,-
,Euphronia guianensis,82261,Embryophytes,1,77.8,0.000407997,-,-12.15839281,0%-1%,-,-
,Deuterogonia pudorina,753304,Arthropods,1,90.8,0.000476644,-,-12.15739907,0%-1%,-,-
,Glyphidocera,753333,Arthropods,2,178,0.000953289,-,-12.13737616,0%-1%,-,-
,Aneuretus simoni,369090,Arthropods,1,90.8,0.000491884,-,-12.1259271,0%-1%,-,-
,Acipenseroidei,186622,Actinopterians,39,343.5,0.001869965,-,-12.12102242,0%-1%,-,-
,Curalium cronini,528124,Arthropods,1,166.125,0.00091659,-,-12.1075905,0%-1%,-,-
,Nothomyrmecia macrops,147889,Arthropods,1,88.8,0.000491884,-,-12.10365446,0%-1%,-,-
,Sparsorythus gracilis,1675685,Arthropods,1,162.4,0.000901713,-,-12.10127642,0%-1%,-,-
,Upupiformes,57389,Aves,3,59.58265512,0.000340561,0.95993361,-12.07228143,0%-1%,-4.127900951,20.67628962
,Schizomida,43267,Arthropods,17,411.0333333,0.002352616,-,-12.07090188,0%-1%,-,-
,Mecicobothriidae,230231,Arthropods,2,290.8,0.001666667,-,-12.0695654,0%-1%,-,-
,Chloranthaceae,16737,Embryophytes,71,139,0.000802387,-,-12.06239368,0%-1%,-,-
,Mayaca,75424,Embryophytes,3,93.6,0.000545355,-,-12.05310327,0%-1%,-,-
,Myxophaga,63907,Arthropods,30,253,0.001480093,-,-12.04904001,0%-1%,-,-
,Paracryphiales,703246,Embryophytes,6,89.9,0.000526639,-,-12.04769288,0%-1%,-,-
,Calliduloidea,104498,Arthropods,7,148.4,0.00087108,-,-12.04568791,0%-1%,-,-
,Ixiolirion,49721,Embryophytes,3,70.6,0.000414479,-,-12.04551806,0%-1%,-,-
,Goupia glabra,39314,Embryophytes,1,68.9,0.000407997,-,-12.03690756,0%-1%,-,-
,Physogyra lichtensteini,419442,Metazoans,1,324,0.001953125,-,-12.01906814,0%-1%,-,-
,Siphlaenigma janae,309628,Arthropods,1,147.8,0.000901713,-,-12.007074,0%-1%,-,-
,Nectiopoda,116564,Arthropods,29,507.35,0.003167322,-,-11.98406995,0%-1%,-,-
,Brachypsectra fulva,1718900,Arthropods,1,187.86,0.001175088,-,-11.98210913,0%-1%,-,-
,Cocculinoidea,216287,Metazoans,20,456.2,0.002854696,-,-11.98172124,0%-1%,-,-
,Setchellanthus caeruleus,44592,Embryophytes,1,62.3,0.000390625,-,-11.97972396,0%-1%,-,-
,Emblingia calceoliflora,124771,Embryophytes,1,61.8,0.000390625,-,-11.9716659,0%-1%,-,-
,Hypocolius ampelinus,583366,Aves,1,29.0158618,0.000185839,-,-11.95847215,0%-1%,-,32.4072756
,Siricoidea,222825,Arthropods,43,251.5,0.001634484,-,-11.94387123,0%-1%,-,-
,Cheiropleuria,29633,Embryophytes,3,236,0.001542416,-,-11.93823677,0%-1%,-,-
elephant louse,Haematomyzus elephantis,160133,Arthropods,1,154.3,0.001064963,-,-11.88371424,0%-1%,-,-
,Asteropeia micraster,55393,Embryophytes,1,86.1,0.000601685,-,-11.87128639,0%-1%,-,-
,Corymbium,320625,Embryophytes,2,44.9,0.000317309,-,-11.8600716,0%-1%,-,-
,Batis maritima,4436,Embryophytes,1,55.2,0.000390625,-,-11.85872549,0%-1%,-,-
,Koeberlinia spinosa,28533,Embryophytes,1,55.2,0.000390625,-,-11.85872549,0%-1%,-,-
,Vesperidae,584324,Arthropods,3,194,0.001378676,-,-11.85448948,0%-1%,-,-
dark-winged fungus gnat,Pachyneuridae,209687,Arthropods,2,196.8,0.001412429,-,-11.84463208,0%-1%,-,-
,Joinvillea,4737,Embryophytes,3,75.8,0.000545355,-,-11.84217118,0%-1%,-,-
,Stenotrachelus aeneus,1501903,Arthropods,1,179.175,0.001290323,-,-11.84122601,0%-1%,-,-
,Amphizoa,107774,Arthropods,2,126.4,0.00091617,-,-11.83475966,0%-1%,-,-
,Aspidytes,183864,Arthropods,2,126.4,0.00091617,-,-11.83475966,0%-1%,-,-
,Lonchitis,32094,Embryophytes,2,141.6,0.001028278,-,-11.83287626,0%-1%,-,-
,Cephidae,27524,Arthropods,49,251.5,0.001862551,-,-11.81325105,0%-1%,-,-
,Galatheacaris abyssalis,798227,Arthropods,1,292.2,0.002169197,-,-11.81083654,0%-1%,-,-
,Otinidae,264266,Metazoans,3,98.5,0.000744971,-,-11.79222122,0%-1%,-,-
,Simmondsia chinensis,3999,Embryophytes,1,79.3,0.000601685,-,-11.7890151,0%-1%,-,-
,Borthwickia trifoliata,1233248,Embryophytes,1,50.92666667,0.000390625,-,-11.77814923,0%-1%,-,-
,Trochodendraceae,4405,Embryophytes,2,123,0.000958773,-,-11.76204081,0%-1%,-,-
,Tovaria pendula,28547,Embryophytes,1,49.8,0.000390625,-,-11.75577752,0%-1%,-,-
,Pentadiplandra brazzeana,43545,Embryophytes,1,49.8,0.000390625,-,-11.75577752,0%-1%,-,-
,Stemmiulidae,245733,Arthropods,2,449,0.003565062,-,-11.74359661,0%-1%,-,-
,Pterolonche,1073688,Arthropods,2,119.9,0.000953289,-,-11.74225067,0%-1%,-,-
,Barbeya oleoides,48391,Embryophytes,1,61.4,0.000488281,-,-11.74202882,0%-1%,-,-
,Dirachma socotrana,72160,Embryophytes,1,61.4,0.000488281,-,-11.74202882,0%-1%,-,-
,Myzostomida,104731,Metazoans,92,662,0.005307488,-,-11.73390215,0%-1%,-,-
,Alzatea verticillata,39982,Embryophytes,1,88,0.000706714,-,-11.73222162,0%-1%,-,-
,Blandfordia,49701,Embryophytes,4,68.8,0.000552639,-,-11.73200959,0%-1%,-,-
,Hypochilus,88323,Arthropods,11,301.1,0.002419177,-,-11.73177012,0%-1%,-,-
microwhip scorpions,Palpigradi,88344,Arthropods,24,411.0333333,0.00332134,-,-11.7260614,0%-1%,-,-
,basal Magnoliophyta,232365,Embryophytes,178,184,0.001490775,-,-11.72339506,0%-1%,-,-
,Loricula,237229,Arthropods,2,226,0.001833181,-,-11.7222378,0%-1%,-,-
,Tatuidris,369238,Arthropods,2,120,0.000983768,-,-11.71161238,0%-1%,-,-
,Aphelonotus fraterculus,1585355,Arthropods,1,166.1,0.00136612,-,-11.70837053,0%-1%,-,-
,Trigonalidae,27488,Arthropods,19,214.4571429,0.001779359,-,-11.69961177,0%-1%,-,-
,Coliidae,57385,Aves,6,81.5850688,0.000681354,0.873450393,-11.69307538,0%-1%,-4.53617044,38.96613065
Club-mosses,Lycopodiidae,1521260,Embryophytes,458,431.3,0.003648472,-,-11.6802507,0%-1%,-,-
,Cooloola ziljan,1634123,Arthropods,1,159.1,0.001347709,-,-11.67888218,0%-1%,-,-
,Deoclona yuccasella,753302,Arthropods,1,55.7,0.000476644,-,-11.66871994,0%-1%,-,-
,Phloeomyzus passerinii,133101,Arthropods,1,122.15,0.001055966,-,-11.65854889,0%-1%,-,-
,Lomis hirta,177234,Arthropods,1,210.3,0.001824818,-,-11.65481037,0%-1%,-,-
,Menuridae,47690,Aves,3,64.15766959,0.000557724,0.848779427,-11.65298911,0%-1%,-4.324642696,37.02431652
,Gavia,37038,Aves,5,64.97508984,0.00056773,0.752163976,-11.64786819,0%-1%,-4.458050378,30.22857626
,Rousseaceae,85554,Embryophytes,7,81,0.000708933,-,-11.64619932,0%-1%,-,-
,Carthaea saturnioides,469316,Arthropods,1,87.1,0.000779423,-,-11.62401325,0%-1%,-,-
,Cyclestheria hislopi,77743,Arthropods,1,153.8,0.00137741,-,-11.62320307,0%-1%,-,-
sponges,Porifera,6040,Metazoans,2247,951.8,0.008542654,-,-11.62103844,0%-1%,-,-
,Corilla adamsi,145720,Metazoans,1,129.9,0.001172333,-,-11.61552447,0%-1%,-,-
mountain beaver,Aplodontia rufa,51342,Mammals,1,58.7,0.000534188,-,-11.60720238,0%-1%,-,58.81704064
mandibulate moths,Micropterigidae,41025,Arthropods,78,224,0.002060548,-,-11.59642916,0%-1%,-,-
,Agapytho foveicollis,1605643,Arthropods,1,187.0222222,0.00174216,-,-11.58385684,0%-1%,-,-
,Smicrips palmicola,1605675,Arthropods,1,187.0222222,0.00174216,-,-11.58385684,0%-1%,-,-
,Ctenolophon,125021,Embryophytes,2,87.1,0.000815993,-,-11.57816109,0%-1%,-,-
springhare,Pedetes capensis,10023,Mammals,1,56.9,0.000534188,0.850522304,-11.576058,0%-1%,-4.20257211,59.82572934
,Scheuchzeria palustris,29653,Embryophytes,1,85.2,0.000802568,-,-11.57269513,0%-1%,-,-
,Pyrgacris descampsi,1260745,Arthropods,1,112,0.001058201,-,-11.5696838,0%-1%,-,-
,Hemicharilaus monomorphus,1260737,Arthropods,1,111.9,0.001058201,-,-11.56879054,0%-1%,-,-
,Rhopalosomatidae,92431,Arthropods,5,119.7,0.001135847,-,-11.56536496,0%-1%,-,-
,Heterochromis multidens,73563,Actinopterians,1,63.6,0.000605327,-,-11.56235542,0%-1%,-,-
,Sematuridae,475307,Arthropods,6,103,0.00098798,-,-11.55457751,0%-1%,-,-
,Ecdeiocoleaceae,98867,Embryophytes,4,75.8,0.000727141,-,-11.5544891,0%-1%,-,-
,Myerslopiidae,139811,Arthropods,3,170.7,0.001649258,-,-11.54733752,0%-1%,-,-
,Caridae,1125798,Arthropods,5,144.7,0.001401345,-,-11.54498521,0%-1%,-,-
whip spiders,Amblypygi,61977,Arthropods,29,411.0333333,0.004013285,-,-11.5368194,0%-1%,-,-
,Gehringia olympica,63935,Arthropods,1,109.9833333,0.001106195,-,-11.5071582,0%-1%,-,-
,Polistichus connexus,878437,Arthropods,1,109.9833333,0.001106195,-,-11.5071582,0%-1%,-,-
,Agdestis clematidea,115620,Embryophytes,1,59.29130435,0.000601685,-,-11.49823963,0%-1%,-,-
,Aeluroscalabotes felinus,96749,Lepidosaurians,1,116,0.00118624,-,-11.49055715,0%-1%,-,-
,Maundia triglochinoides,871927,Embryophytes,1,78.44,0.000802568,-,-11.4900277,0%-1%,-,-
,Pleocomidae,110050,Arthropods,4,188.9333333,0.001953125,-,-11.47971884,0%-1%,-,-
,Xylophagomorpha,43736,Arthropods,23,208,0.002154163,-,-11.47789104,0%-1%,-,-
,Surianaceae,27046,Embryophytes,6,65.4,0.000678349,-,-11.4763704,0%-1%,-,-
,Parhypochthonioidea,83160,Arthropods,3,505,0.005272408,-,-11.46982657,0%-1%,-,-
,Xanthoceras sorbifolium,99658,Embryophytes,1,98.6,0.001043841,-,-11.45591904,0%-1%,-,-
,Dibamidae,261508,Lepidosaurians,14,201,0.002146252,-,-11.44733725,0%-1%,-,-
,Sphenoclea zeylanica,28496,Embryophytes,1,54.7,0.000584795,-,-11.44611236,0%-1%,-,-
,Scoloplax distolothrix,390390,Actinopterians,1,108.3333333,0.001160093,-,-11.44446816,0%-1%,-,-
,Buxbaumia,70127,Embryophytes,4,187.2,0.002005013,-,-11.44428253,1%-2%,-,-
,Mitrastemon,51497,Embryophytes,2,94.2,0.001032525,-,-11.42116866,1%-2%,-,-
,Pamphilioidea,222822,Arthropods,76,260.9,0.002888855,-,-11.41103221,1%-2%,-,-
horstails,Equisetum,3257,Embryophytes,18,345.2,0.003850267,-,-11.40373664,1%-2%,-,-
,Nematogenys inermis,245786,Actinopterians,1,100.2,0.001160093,-,-11.36642346,1%-2%,-,-
,Pachystroma longifolium,316817,Embryophytes,1,73.8,0.000859107,-,-11.36097636,1%-2%,-,-
tunicates,Tunicata,7712,Metazoans,399,676.4,0.007901303,-,-11.35751221,1%-2%,-,-
,Orsodacne,131684,Arthropods,5,194,0.002297794,-,-11.34366385,1%-2%,-,-
ship timber beetles,Lymexylidae,295945,Arthropods,10,207.8,0.002483855,-,-11.33451959,1%-2%,-,-
flamingos,Phoenicopteridae,9215,Aves,6,56.78914759,0.000681354,0.878118251,-11.33077436,1%-2%,-4.168543633,21.32668159
flying lemurs,Cynocephalidae,30657,Mammals,3,91.3,0.001096091,-,-11.33015621,1%-2%,-,52.18106724
,Boryaceae,59003,Embryophytes,6,68.97,0.000828958,-,-11.32901236,1%-2%,-,-
,Rheobatrachus silus,326985,Amphbians,1,123.9,0.001494768,-,-11.32525885,1%-2%,-,-
,Myriapoda,61985,Arthropods,1078,583.1,0.007071078,-,-11.32010102,1%-2%,-,-
,Bombinatoridae,30312,Amphbians,11,156.9,0.001910386,-,-11.31605886,1%-2%,-,-
,Crocodylia,1294634,Vertebrates,26,236.5,0.002932221,-,-11.29794347,1%-2%,-,-
,Synchroidae,219438,Arthropods,2,207,0.002580645,-,-11.29243464,1%-2%,-,-
,Telegeusis,333888,Arthropods,2,188.1,0.002350176,-,-11.29023868,1%-2%,-,-
,Selonodon,1581404,Arthropods,2,187.86,0.002350176,-,-11.28896195,1%-2%,-,-
,Alseuosmiaceae,49929,Embryophytes,9,72.4,0.000911485,-,-11.28264204,1%-2%,-,-
twisted-wing parasites,Strepsiptera,30261,Arthropods,152,296.6,0.003742368,-,-11.28042127,1%-2%,-,-
,Didymochlaena truncatula,173906,Embryophytes,1,90.2,0.001145475,-,-11.27396498,1%-2%,-,-
,Procaris,6710,Arthropods,2,340,0.004338395,-,-11.26919648,1%-2%,-,-
,Melizoderidae,1225616,Arthropods,4,170.7,0.00219901,-,-11.25965545,1%-2%,-,-
,Cyrillaceae,4339,Embryophytes,2,79.8,0.001032525,-,-11.25527199,1%-2%,-,-
,Enicocephalomorpha,33346,Arthropods,15,302,0.003929788,-,-11.24959687,1%-2%,-,-
,Retropluma denticulata,1550680,Arthropods,1,128.9,0.001680672,-,-11.24759832,1%-2%,-,-
,Dacryopilumnus rathbunae,864869,Arthropods,1,128.8090909,0.001680672,-,-11.2468928,1%-2%,-,-
,Pilumnoides perlatus,598735,Arthropods,1,128.8090909,0.001680672,-,-11.2468928,1%-2%,-,-
,Osmundaceae,3282,Embryophytes,15,290.6,0.003843198,-,-11.23339832,1%-2%,-,-
,Sooglossoidea,650419,Amphbians,5,135.3,0.001797914,-,-11.22862248,1%-2%,-,-
,Arcticoidea,105709,Metazoans,3,441.2,0.005882353,-,-11.22529672,1%-2%,-,-
,Drosophyllum lusitanicum,4373,Embryophytes,1,45,0.000601685,-,-11.22243947,1%-2%,-,-
,Holarchaea sp. New Zealand,489264,Arthropods,1,120.9666667,0.001620746,-,-11.22038405,1%-2%,-,-
